id_village,village_name,id_post
uuid:694bea19-d453-4aa7-be59-33c49d561c91,Insurupi,PA040501
uuid:708c7504-fa9f-4da3-84e8-d5eb94eb08cc,Carico Nayve,PA040501
uuid:82e9df63-c474-4d99-a51b-d5bb8c672062,Macuela,PA040503
uuid:8b01fc9e-f786-4b1e-8023-46c850925ece,Cuane,PA040501
uuid:910c2e29-8cb4-494d-8ad8-663bae0e90e3,Cuntal,PA040502
uuid:9e7993f3-2407-40f4-b946-0d8b9eead53a,Ethocola,PA041502
uuid:a5d6a619-33fb-4e06-88b4-ff44384c6ba2,Veriha,PA041502
uuid:a9e0dd35-3112-4d17-b79e-3ca2f87498d4,Mongessa,PA042002
uuid:aaa8e3dc-ac53-494f-958e-2317616331e7,Malalo,PA041502
uuid:cbe62a1d-0a0c-4be5-b5f7-610a85c4f92f,Samalungo,PA042002
uuid:e714fd64-8cf1-44f6-aff4-344ee2462798,Tetete Sede,PA040502
uuid:ead43eac-dbda-4b18-927b-5772996af6a5,Namarua,PA041502
uuid:ee07960c-ed6b-4430-bf60-66420399a3c7,Namacala,PA040501
uuid:ef1e8875-4845-4f3f-a9d0-3e1d20e50913,Mirintxe,PA040502
uuid:ef3808d7-b174-4529-a649-f96b6ff817b1,Rumala,PA041502
uuid:291343e7-1314-4b91-bb49-087f724f52f7,Comunidade de Lipembo,PA010901
uuid:40cb19e6-a3d3-487c-b041-82459d2019b0,Namambacale,PA010902
uuid:5dcb7616-e204-45c2-b501-090a79a4c0c1,Comunidade de Luatize,PA010901
uuid:5e7e822d-0715-49a7-b087-e1a498259413,Comunidade de Milepa,PA010901
uuid:6359d8cd-6b68-4a7d-9656-73efb7d0773e,Nsacalange,PA010901
uuid:662e24d1-9906-4385-b7a3-129bd8f5b84d,Comunidade de Chituche,PA010901
uuid:722738b2-f71a-4d68-a5d5-ecb599b80b4a,Posto administativo de Msawise,PA010902
uuid:7c8cde3a-7595-4715-8cc0-687665cd5052,Comunidade de Mbuyo,PA010901
uuid:974a6643-b791-4d06-a6f0-470808445e3d,Comunidade de Ncalapa sede,PA010901
uuid:9ed5a72b-5b0f-4e3e-bc05-efacebd0f2e3,Comunidade de Chituche,PA010901
uuid:a58268d3-5af4-4462-b813-27e25e8a4317,Comunidade de Iringa,PA010901
uuid:af18ccec-42fb-48f1-bfc5-8f3ac072c62a,Mavago Sede,PA010901
uuid:b8630df0-57a8-4ceb-a206-1204cf15de02,Ntakudja,PA010901
uuid:d2882de9-07b6-4fb7-b764-a1101639d820,Ligogo,PA010901
uuid:fa602bc0-949b-46e4-9036-f8c39bd13a03,Chilolo,PA010902
uuid:0592a4e3-91ec-4888-a6ec-d9ad26b58098,Longolela,PA011302
uuid:13a01a66-ee12-4283-9923-cfb0f16b50d1,Machemba,PA010402
uuid:13ed5b1c-a136-4762-b481-01c5854b3c2b,Povoado de Changaussa,PA010701
uuid:1b78977b-a062-41ed-b3b9-89be1d53aa27,COMUNIDADE DE ARAMA,PA011501
uuid:1ba6535e-16fb-49ac-b827-3684de9847ad,Chipanga,PA010402
uuid:23a73a8c-b09b-4c22-81cd-dec306f12182,Chiuanjota,PA011302
uuid:35839985-b953-4d09-83c8-2c631947faf1,Mangoche,PA010402
uuid:392a72a6-b262-4dd9-ac07-8944ea95060b,Mapalilo,PA010402
uuid:3cc8493a-3269-40a4-9db5-a252a9e62f10,MISSORO,PA010701
uuid:562b82dd-8949-4726-ad69-5fcfef79ec5f,Ndolela,PA010402
uuid:59b5637a-a121-4f9e-a8d4-98fab943ac47,COMUNIDADE DE NAPALAVI,PA011501
uuid:5d66c4db-7c61-4dfe-8f12-babbd7cc1382,Luguesse,PA011301
uuid:6ca5faee-5aa8-4072-8ae7-b641b0143fca,Lumbi,PA010402
uuid:77aecd83-dd52-4a29-a669-4c985fc89365,Matipa,PA010402
uuid:7ba7d3f7-58cf-4ec8-a61f-c9a956daa8b7,Nsigeue,PA010402
uuid:7fd715d9-f660-4f92-bbbf-95bd031e6fee,Chinenge,PA010402
uuid:84f973be-f2df-44c7-81c4-7cb8a4431fdb,Chidjumo,PA011302
uuid:87b007e9-b200-444e-874a-72e9a888fc6a,Lumambile,PA011302
uuid:a2ec1981-af36-4c5e-ac3e-76b245f6c933,Lutuesse,PA011301
uuid:a5a36377-7bb7-4e1d-91ad-e9ac1a07e488,Mbutula,PA010402
uuid:a5ebe3da-0553-4fc7-8085-d846f434b96e,Chiganga,PA010402
uuid:a6686308-eaa8-4509-a8c3-95c91302fec7,Naicuanha,PA010402
uuid:a6e3fb3e-f4b0-4932-a866-da3dec63488c,Lissege,PA011302
uuid:ba8eeb52-dfd6-4930-a1e8-ab060b55f67e,Missoro,PA010701
uuid:ba8f6618-3223-4109-acfe-558f7123b75d,Ligogolo,PA011302
uuid:bc6af559-1601-4b85-a276-772f73c632d7,Chissalanga,PA010402
uuid:bdb79c88-7127-46de-8ce3-21df77583c7a,Mpombe,PA010402
uuid:be36756e-d31d-4818-8378-79ca43d6126b,Nditi,PA011302
uuid:c0444d43-b67e-407e-b628-f11e6147b82d,Chala_sede,PA010402
uuid:c32b6338-4541-40a0-bac8-4b66dc2be50d,Cianene,PA011302
uuid:c59d8ed4-8bf4-4db2-8f7c-a6e6f6b28eb6,Camalisse,PA010402
uuid:c5ed7c49-7506-4eca-83ff-cbc7f2cbfe8f,Lione,PA010402
uuid:ca7cb0dd-aad3-410b-ac5e-b156af1a011c,Povoado de Repele,PA010701
uuid:ce9726df-39aa-43ac-8f63-7775832af8c4,REPELE,PA010701
uuid:d1646e22-1ded-41e7-9b99-5752e71798c3,Chicongoe,PA010402
uuid:d1d56050-8ee2-457f-b929-93f40ca87bee,Chande,PA010402
uuid:da2e1fd1-1ad3-4e59-9bcc-e28f0053d153,CHANGAUSSA,PA010701
uuid:db1a5bae-0e87-45d9-8d4f-14344c5ffd06,Mutapassa,PA010402
uuid:ddd76d12-096e-4b9f-bd70-b46bdad6693e,Utuculo,PA010402
uuid:ed6f79e0-62a3-4d63-9d4e-54e4577080c2,Mpelula,PA010402
uuid:f135ee3b-0c60-4992-ac7d-c9897c068a27,Lipiche,PA010402
uuid:0784e12d-6469-47b8-97a5-b8c54e6b8508,Marracua,PA042201
uuid:1e446dc0-0186-4336-90e5-5b5cdc21b539,Magala de Inhangulue,PA042201
uuid:4fbdb7e3-451a-42d6-b335-bff31bb8e22e,Pindane,PA042201
uuid:654ed3d7-3428-4807-bdda-1d90d36f5089,Milato,PA042201
uuid:6df76274-1267-4e61-bf4d-5523b4767d97,Murtane,PA042201
uuid:82174d65-0e64-4e52-b89c-0ac707eccfac,Machimano,PA042201
uuid:88990284-e4a1-4548-a23f-7ee7ce43e27c,Muiamo,PA042201
uuid:8f0f0b5e-4047-4262-8fdc-2d3f68999768,Naivere,PA042201
uuid:8f533ccf-c9a1-484f-96de-95a0d343af7c,Magala de Machimbue,PA042201
uuid:a386db37-5238-4200-ac33-f5c27f8a773c,Inhangulue,PA042201
uuid:c7e6cc72-bdab-4936-b59d-f6fd06eed430,Gumira,PA042201
uuid:e2245702-965b-4b09-ad2f-9cd3d75bb145,Salinhane,PA042201
uuid:effd3437-a64a-4250-b37e-9606bef5e1f2,Mussuluga,PA042201
uuid:f2614c75-0cc3-49e6-8833-8639e0c024dc,Sareva,PA042201
uuid:09c9c7c2-66ea-4c4f-a530-aa6034aab7a2,Carico Mole,PA040501
uuid:10333f2b-f29c-4f7c-a162-1566ead3d326,Nampué Nawitela,PA040501
uuid:21b7d369-5f74-4c61-be69-51b7ffba7b68,Intipita Murrui,PA040501
uuid:265714e5-f608-4772-a713-3211fee7b44d,Carico,PA040501
uuid:2ae4cb44-b371-429b-aa3c-06c556701334,Wakhole Nawitela,PA040501
uuid:2f9962fa-d4e2-4152-a3ad-3c283776e729,Carico,PA040501
uuid:304498b7-e6e0-48e6-9549-e2032efd5bc1,Murrabué,PA040501
uuid:30f37da5-8626-4bd8-9d44-c30788e7d1dd,Nicau sede,PA040501
uuid:312a089d-71a4-46a3-acf7-9491fd9ff71d,Marora Carico,PA040501
uuid:39050dd8-5c29-45f0-92ed-0266f1975913,Elapele Nawitela,PA040501
uuid:3ed1d21d-3c58-4407-ba1f-4bf8686c7c51,Nacarupa,PA040501
